Time(s),Volume(dB),Delta(dB)
506.4729625,-96.0,0.0
506.5,1.0,97.0
506.57629444444444,1.0,0.0
506.605,-96.0,-97.0
506.6817527777778,-96.0,0.0
506.70697222222225,1.0,97.0
506.73333333333335,1.0,0.0
506.7568847222222,-17.0,-18.0
506.7883013888889,-17.0,0.0
506.8069722222222,1.0,18.0
506.8492361111111,1.0,0.0
506.86833333333334,-20.0,-21.0
506.8983333333333,-20.0,0.0
506.9171666666667,-1.0,19.0
507.06666666666666,-1.0,0.0
507.08335416666665,-32.0,-31.0
507.1069166666667,-32.0,0.0
507.1250347222222,1.0,33.0
507.1839638888889,1.0,0.0
507.20166666666665,-5.0,-6.0
507.2316666666667,-5.0,0.0
507.23333333333335,1.0,6.0
507.38535833333333,1.0,0.0
507.40333194444446,-22.0,-23.0
507.4312625,-22.0,0.0
507.46666666666664,1.0,23.0
507.76666666666665,1.0,0.0
507.7899986111111,-96.0,-97.0
508.2100013888889,-96.0,0.0
508.23333333333335,-96.0,0.0
509.1,-96.0,0.0
509.10333194444445,-96.0,0.0
509.1507125,-96.0,0.0
509.24665555555555,3.0,99.0
509.3235722222222,3.0,0.0
509.3366652777778,-6.0,-9.0
509.37993472222223,-6.0,0.0
509.4,3.0,9.0
509.76666666666665,3.0,0.0
509.7866666666667,-96.0,-99.0
510.84763888888887,-96.0,0.0
510.8676388888889,5.0,101.0
511.5,5.0,0.0
511.505,-1.0,-6.0
511.5859361111111,-1.0,0.0
511.6,5.0,6.0
511.73333333333335,5.0,0.0
511.75549027777777,-30.0,-35.0
511.7694763888889,-30.0,0.0
511.8,5.0,35.0
511.88256944444447,5.0,0.0
511.90333194444446,-8.0,-13.0
511.9312625,-8.0,0.0
511.96666666666664,5.0,13.0
512.0907013888889,5.0,0.0
512.1107083333334,-96.0,-101.0
512.385,-96.0,0.0
512.4,-96.0,0.0
513.5,-96.0,0.0
513.5016666666667,-96.0,0.0
513.5367708333333,-96.0,0.0
513.589125,1.0,97.0
513.6804777777778,1.0,0.0
513.7016666666667,-31.0,-32.0
513.7161111111111,-31.0,0.0
513.7419166666666,1.0,32.0
513.8443555555556,1.0,0.0
513.8683333333333,-21.0,-22.0
513.8899666666666,-21.0,0.0
513.9,1.0,22.0
514.0788263888888,1.0,0.0
514.0919375,-11.0,-12.0
514.0961875,-11.0,0.0
514.110013888889,0.0,11.0
514.6416319444445,0.0,0.0
514.6623541666667,-96.0,-96.0
515.5393791666667,-96.0,0.0
515.5767986111111,1.0,97.0
515.6443555555555,1.0,0.0
515.669998611111,-31.0,-32.0
515.6979291666667,-31.0,0.0
515.7333333333333,1.0,32.0
516.1005097222222,1.0,0.0
516.1153444444444,-96.0,-97.0
516.2359833333334,-96.0,0.0
516.2968472222223,1.0,97.0
516.4333333333333,1.0,0.0
516.4624625,-15.0,-16.0
516.4966680555556,-15.0,0.0
516.5153388888889,1.0,16.0
516.7534194444445,1.0,0.0
516.7683333333333,-28.0,-29.0
516.8067,-28.0,0.0
516.8264944444444,1.0,29.0
517.2061416666667,1.0,0.0
517.2210555555556,-11.0,-12.0
517.2399,-11.0,0.0
517.2666666666667,1.0,12.0
517.5333333333333,1.0,0.0
517.5383333333333,-96.0,-97.0
517.6283333333333,-96.0,0.0
517.6758638888889,1.0,97.0
517.8991694444444,1.0,0.0
517.9170166666667,-34.0,-35.0
517.9771597222223,-34.0,0.0
517.9988541666667,1.0,35.0
518.0541819444444,1.0,0.0
518.0708694444445,-30.0,-31.0
518.1305069444444,-30.0,0.0
518.1640902777777,1.0,31.0
518.4755972222222,1.0,0.0
518.4856305555555,-37.0,-38.0
518.4998583333333,-37.0,0.0
518.5333333333333,1.0,38.0
518.6,1.0,0.0
518.6100333333334,-7.0,-8.0
518.6316666666667,-7.0,0.0
518.6521583333333,1.0,8.0
518.7333333333333,1.0,0.0
518.7383333333333,-96.0,-97.0
518.8283333333334,-96.0,0.0
518.8333333333334,1.0,97.0
519.3550194444445,1.0,0.0
519.3583472222223,-96.0,-97.0
519.7399347222222,-96.0,0.0
519.7754180555555,3.0,99.0
519.9124166666667,3.0,0.0
519.9383333333334,-16.0,-19.0
519.9899861111111,-16.0,0.0
520.0207833333334,3.0,19.0
520.2839638888889,3.0,0.0
520.3016666666666,-23.0,-26.0
520.3205111111112,-23.0,0.0
520.3333333333334,1.0,24.0
520.5666666666667,1.0,0.0
520.5699986111111,-15.0,-16.0
520.6090847222222,-15.0,0.0
520.6333333333333,1.0,16.0
520.6699583333333,1.0,0.0
520.6899583333334,-96.0,-97.0
521.08,-96.0,0.0
521.1,-96.0,0.0
522.8,-96.0,0.0
522.8016666666666,-96.0,0.0
522.8345277777778,-96.0,0.0
522.8512152777778,-1.0,95.0
522.8790833333334,-1.0,0.0
522.9033319444444,-12.0,-11.0
522.9863430555556,-12.0,0.0
523.0015277777778,-1.0,11.0
523.0666666666667,-1.0,0.0
523.0716666666667,-96.0,-95.0
523.1616666666666,-96.0,0.0
523.1945555555556,-1.0,95.0
523.3366861111111,-1.0,0.0
523.3493458333334,-28.0,-27.0
523.3682555555556,-28.0,0.0
523.3949930555556,2.0,30.0
523.6029305555555,2.0,0.0
523.6195972222222,-96.0,-98.0
523.8849791666667,-96.0,0.0
523.9047486111111,-96.0,0.0
523.95,-96.0,0.0
523.9666666666667,-96.0,0.0
524.1640638888889,-96.0,0.0
524.2500694444444,4.0,100.0
524.3047472222222,4.0,0.0
524.3186930555555,-8.0,-12.0
524.3933375,-8.0,0.0
524.4282,8.0,16.0
524.5187361111111,8.0,0.0
524.5482513888888,-96.0,-104.0
524.6507847222222,-96.0,0.0
524.6889777777777,0.0,96.0
524.7333333333333,0.0,0.0
524.7543694444445,-12.0,-12.0
524.8095083333334,-12.0,0.0
524.8333333333334,3.0,15.0
525.0131138888889,3.0,0.0
525.0383333333333,-96.0,-99.0
525.1367,-96.0,0.0
525.1925972222223,4.0,100.0
525.3885555555555,4.0,0.0
525.4068875,-96.0,-100.0
526.560175,-96.0,0.0
526.5785069444445,0.0,96.0
526.5916333333333,-9.64327e-16,-9.64327e-16
526.5960888888889,-14.0,-13.999999999999998
526.6316666666667,-14.0,0.0
526.6465805555556,0.0,14.0
526.7666666666667,0.0,0.0
526.7733333333333,-96.0,-96.0
526.9163416666667,-96.0,0.0
526.9418333333333,0.0,96.0
527.0666666666667,0.0,0.0
527.0889791666667,-20.0,-20.0
527.1057541666667,-20.0,0.0
527.1333333333333,-9.64327e-16,20.0
527.3333333333334,0.0,9.64327e-16
527.3366652777778,-9.0,-9.0
527.3966680555556,-9.0,0.0
527.4,-9.64327e-16,8.999999999999998
527.4666666666667,0.0,9.64327e-16
527.4683333333334,-5.0,-5.0
527.4983333333333,-5.0,0.0
527.5,0.0,5.0
527.5333333333333,0.0,0.0
527.54755,-33.0,-33.0
527.571275,-33.0,0.0
527.5924638888889,-9.64327e-16,33.0
527.6887111111112,0.0,9.64327e-16
527.7217527777777,-29.0,-29.0
527.7398277777778,-29.0,0.0
527.7550847222223,2.0,31.0
527.9333333333333,2.0,0.0
527.9366652777778,-13.0,-15.0
527.9888,-13.0,0.0
528.0092986111111,2.0,15.0
528.3276111111111,2.0,0.0
528.345,-96.0,-98.0
528.6050694444444,-96.0,0.0
528.6246041666667,1.0,97.0
528.7666666666667,1.0,0.0
528.7733333333333,-13.0,-14.0
528.8745083333333,-13.0,0.0
528.9,1.0,14.0
529.2068680555556,1.0,0.0
529.2202069444445,-96.0,-97.0
529.4986888888889,-96.0,0.0
529.5437097222223,3.0,99.0
529.9642361111111,3.0,0.0
529.9809027777778,-96.0,-99.0
530.6139722222222,-96.0,0.0
530.7359555555555,1.0,97.0
531.3506305555555,1.0,0.0
531.3683333333333,-11.0,-12.0
531.3802055555556,-11.0,0.0
531.4,1.0,12.0
531.4450527777777,1.0,0.0
531.4683333333334,-96.0,-97.0
531.4983333333333,-96.0,0.0
531.5299805555555,4.0,100.0
531.6152055555556,4.0,0.0
531.6366652777778,-11.0,-15.0
531.6966680555555,-11.0,0.0
531.7216138888889,4.0,15.0
531.8756805555555,4.0,0.0
531.8966458333333,-96.0,-100.0
532.7260763888889,-96.0,0.0
532.7463263888889,2.0,98.0
533.0145083333333,2.0,0.0
533.0333333333333,-10.7764,-12.7764
533.0383333333333,-24.0,-13.2236
533.0566652777778,-23.0,1.0
533.1102055555556,-23.0,0.0
533.1333333333333,12.0,35.0
533.2139555555556,12.0,0.0
533.2445513888889,-10.0,-22.0
533.2648013888889,-10.0,0.0
533.2743361111111,12.0,22.0
533.3,12.0,0.0
533.3239777777778,-89.0,-101.0
533.3316666666667,-89.0,0.0
533.3528555555556,12.0,101.0
533.4409166666667,12.0,0.0
533.4559166666667,-89.0,-101.0
533.4766680555556,-89.0,0.0
533.5,-96.0,-7.0
533.7516666666667,-96.0,0.0
533.7666666666667,-96.0,0.0
534.6666666666666,-96.0,0.0
534.669998611111,-96.0,0.0
534.7393,-96.0,0.0
534.7597986111111,1.0,97.0
535.1333333333333,1.0,0.0
535.135,-13.0,-14.0
535.165,-13.0,0.0
535.1845486111112,1.0,14.0
535.4333333333333,1.0,0.0
535.4554902777778,-18.0,-19.0
535.4841180555555,-18.0,0.0
535.5,1.0,19.0
535.6061416666666,1.0,0.0
535.6416722222223,-15.0,-16.0
535.6816472222222,-15.0,0.0
535.7,3.0,18.0
535.7867527777778,3.0,0.0
535.8214597222222,-16.0,-19.0
535.8633347222222,-16.0,0.0
535.8889777777778,3.0,19.0
536.3509305555556,3.0,0.0
536.3666527777777,-96.0,-99.0
536.7490763888889,-96.0,0.0
536.7676597222222,2.0,98.0
536.9325027777778,2.0,0.0
536.9683333333334,-19.0,-21.0
536.975325,-19.0,0.0
537.0,2.0,21.0
537.0762944444444,2.0,0.0
537.0898138888889,-20.0,-22.0
537.1072638888888,-20.0,0.0
537.1333333333333,2.0,22.0
537.2,2.0,0.0
537.2151847222223,-19.0,-21.0
537.2354458333333,-19.0,0.0
537.2666666666667,2.0,21.0
537.3464472222222,2.0,0.0
537.3716666666667,-25.0,-27.0
537.4714277777778,-25.0,0.0
537.4868861111111,2.0,27.0
537.5071527777778,2.0,0.0
537.5195486111111,-5.0,-7.0
537.5223680555556,-5.0,0.0
537.537625,6.0,11.0
537.6666666666666,6.0,0.0
537.6794888888888,-19.0,-25.0
537.6899666666667,-19.0,0.0
537.7,6.0,25.0
537.8,6.0,0.0
537.8033319444445,-4.0,-10.0
537.8633347222222,-4.0,0.0
537.8847944444444,6.0,10.0
537.9666666666667,6.0,0.0
537.9828222222222,-10.0,-16.0
538.0051916666666,-10.0,0.0
538.0666666666667,6.0,16.0
538.1251805555555,6.0,0.0
538.1435263888889,-96.0,-102.0
538.3250013888888,-96.0,0.0
538.3333333333334,-96.0,0.0
539.3333333333334,-96.0,0.0
539.3366652777778,-96.0,0.0
539.4052513888889,-96.0,0.0
539.4278958333333,-1.0,95.0
539.5333333333333,-1.0,0.0
539.5492152777778,-20.0,-19.0
539.5834208333333,-20.0,0.0
539.6,-1.0,19.0
539.7,-1.0,0.0
539.7083319444445,-96.0,-95.0
539.8422986111111,-96.0,0.0
539.8666666666667,-1.0,95.0
539.9082333333333,-1.0,0.0
539.9383333333334,-14.0,-13.0
540.0039305555556,-14.0,0.0
540.0556444444444,-1.0,13.0
540.1333333333333,-1.0,0.0
540.1366652777778,-96.0,-95.0
540.1966680555555,-96.0,0.0
540.231375,-1.0,95.0
540.239475,-1.0,0.0
540.2525680555556,-13.0,-12.0
540.2756180555556,-13.0,0.0
540.3333333333334,-1.0,12.0
540.4,-1.0,0.0
540.41,-96.0,-95.0
540.59,-96.0,0.0
540.6,-1.0,95.0
541.0079666666667,-1.0,0.0
541.0387638888889,-96.0,-95.0
541.1708791666666,-96.0,0.0
541.2,2.0,98.0
541.9552222222222,2.0,0.0
541.9702222222222,-96.0,-98.0
542.5597458333333,-96.0,0.0
542.6250361111111,3.0,99.0
542.7721111111111,3.0,0.0
542.8016666666666,-21.0,-24.0
542.8177222222222,-21.0,0.0
542.8437916666667,3.0,24.0
543.0313069444444,3.0,0.0
543.0444180555555,-23.0,-26.0
543.0620777777777,-23.0,0.0
543.1157361111111,7.0,30.0
543.1359888888888,7.0,0.0
543.169998611111,-96.0,-103.0
543.2300013888889,-96.0,0.0
543.2758638888889,4.0,100.0
543.5675708333333,4.0,0.0
543.6273125,-96.0,-100.0
544.2863388888888,-96.0,0.0
544.3140083333333,2.0,98.0
544.6703319444445,2.0,0.0
544.7554458333333,-96.0,-98.0
545.7308333333333,-96.0,0.0
545.8577805555556,2.0,98.0
546.4509305555556,2.0,0.0
546.4759583333333,-96.0,-98.0
546.763375,-96.0,0.0
546.7819652777778,2.0,98.0
546.8422638888889,2.0,0.0
546.8683333333333,-28.0,-30.0
546.8983333333333,-28.0,0.0
546.9278888888889,2.0,30.0
546.9797805555555,2.0,0.0
547.0016666666667,-96.0,-98.0
547.0316666666666,-96.0,0.0
547.0668,2.0,98.0
547.1896041666666,2.0,0.0
547.2030527777778,-33.0,-35.0
547.242125,-33.0,0.0
547.2653347222222,3.0,36.0
